503,0005,1,1963-01-03 12:50:40+00,1,Image0005.tif,t
503,0006,1,1963-01-03 12:50:50+00,1,Image0006.tif,t
503,0007,1,1963-01-03 12:51:16+00,1,Image0007.tif,t
503,0008,1,1963-01-03 12:51:33+00,1,Image0008.tif,t
503,0010,1,1963-01-03 12:52:01+00,1,Image0010.tif,t
503,0083,1,1963-01-04 06:23:51+00,1,Image0083.tif,t
503,0084,1,1963-01-04 06:24:16+00,1,Image0084.tif,t
503,0085,1,1963-01-04 06:24:34+00,1,Image0085.tif,t
503,0086,1,1963-01-04 06:24:52+00,1,Image0086.tif,t
503,0228,1,1963-01-05 03:27:16+00,1,Image0228.tif,t
503,0306,1,1963-01-05 07:06:25+00,1,Image0306.tif,t
503,0307,1,1963-01-05 07:06:43+00,1,Image0307.tif,t
503,0411,1,1963-01-05 14:12:57+00,1,Image0411.tif,t
505,0008,1,1963-01-06 04:03:33+00,1,Image0008.tif,t
505,0059,1,1963-01-06 05:58:22+00,1,Image0059.tif,t
505,0060,1,1963-01-06 05:58:40+00,1,Image0060.tif,t
505,0333,1,1963-01-02 11:54:04+00,1,Image0333.tif,t
505,0334,1,1963-01-07 11:54:20+00,1,Image0334.tif,t
505,0418,1,1963-01-08 05:25:14+00,1,Image0418.tif,t
505,0419,1,1963-01-08 05:25:32+00,1,Image0419.tif,t
505,0420,1,1963-01-08 05:25:41+00,1,Image0420.tif,t
505,0421,1,1963-01-08 05:26:07+00,1,Image0421.tif,t
505,0423,1,1963-01-08 05:26:42+00,1,Image0423.tif,t
505,0424,1,1963-01-08 05:27:00+00,1,Image0424.tif,t
506,0002,1,1963-01-08 07:06:40+00,1,Image0002.tif,t
506,0003,1,1963-01-08 07:06:57+00,1,Image0003.tif,t
506,0004,1,1963-01-08 07:07:15+00,1,Image0004.tif,t
506,0008,1,1963-01-08 07:08:26+00,1,Image0008.tif,t
506,0125,1,1963-01-08 14:18:34+00,1,Image0125.tif,t
506,0126,1,1963-01-08 14:18:52+00,1,Image0126.tif,t
506,0155,1,1963-01-09 04:13:24+00,1,Image0155.tif,t
506,0157,1,1963-01-09 04:13:51+00,1,Image0157.tif,t
506,0255,1,1963-01-09 13:07:02+00,1,Image0255.tif,t
506,0257,1,1963-01-09 13:07:30+00,1,Image0257.tif,t
506,0260,1,1963-01-09 13:08:32+00,1,Image0260.tif,t
506,0273,1,1963-01-10 03:01:30+00,1,Image0273.tif,t
506,0274,1,1963-01-10 03:01:56+00,1,Image0274.tif,t
